country,region,partition_date
ALBANIA,EMEA,18/10/23
ALGERIA,EMEA,18/10/23
ANDORRA,EMEA,18/10/23
ARGENTINA,LATAM,18/10/23
AUSTRALIA,APAC,18/10/23
AUSTRIA,EMEA,18/10/23
AZERBAIJAN,EMEA,18/10/23
BAHRAIN,EMEA,18/10/23
BANGLADESH,APAC,18/10/23
BELARUS,EMEA,18/10/23
BELGIUM,EMEA,18/10/23
BOLIVIA,LATAM,18/10/23
BOSNIA,EMEA,18/10/23
BRAZIL,LATAM,18/10/23
BULGARIA,EMEA,18/10/23
BURKINA FASO,EMEA,18/10/23
CANADA,NA,18/10/23
CHILE,LATAM,18/10/23
CHINA,APAC,18/10/23
COLOMBIA,LATAM,18/10/23
THE DRC CONGO,EMEA,18/10/23
COSTA RICA,LATAM,18/10/23
CROATIA,EMEA,18/10/23
CYPRUS,EMEA,18/10/23
CZECH REPUBLIC,EMEA,18/10/23
DENMARK,EMEA,18/10/23
DOMINICAN REPUBLIC,LATAM,18/10/23
ECUADOR,LATAM,18/10/23
EGYPT,EMEA,18/10/23
EL SALVADOR,LATAM,18/10/23
ESTONIA,EMEA,18/10/23
FINLAND,EMEA,18/10/23
FRANCE,EMEA,18/10/23
GEORGIA,EMEA,18/10/23
GERMANY,EMEA,18/10/23
GHANA,EMEA,18/10/23
GREECE,EMEA,18/10/23
GUATEMALA,LATAM,18/10/23
HONDURAS,LATAM,18/10/23
HONG KONG,APAC,18/10/23
HUNGARY,EMEA,18/10/23
ICELAND,EMEA,18/10/23
INDIA,APAC,18/10/23
INDONESIA,APAC,18/10/23
IRAN,EMEA,18/10/23
IRELAND,EMEA,18/10/23
ISRAEL,EMEA,18/10/23
ITALY,EMEA,18/10/23
JAMAICA,LATAM,18/10/23
JAPAN,APAC,18/10/23
JORDAN,EMEA,18/10/23
KAZAKHSTAN,EMEA,18/10/23
KENYA,EMEA,18/10/23
KOSOVO,EMEA,18/10/23
KUWAIT,EMEA,18/10/23
LATVIA,EMEA,18/10/23
LEBANON,EMEA,18/10/23
LITHUANIA,EMEA,18/10/23
LUXEMBOURG,EMEA,18/10/23
REPUBLIC OF MACEDONIA,EMEA,18/10/23
MALAWI,EMEA,18/10/23
MALAYSIA,APAC,18/10/23
MALI,EMEA,18/10/23
MALTA,EMEA,18/10/23
THE REPUBLIC OF MARSHALL ISLANDS,APAC,18/10/23
MAURITIUS,EMEA,18/10/23
MEXICO,LATAM,18/10/23
MOLDOVA,EMEA,18/10/23
MONACO,EMEA,18/10/23
MONTENEGRO,EMEA,18/10/23
MOROCCO,EMEA,18/10/23
NETHERLANDS,EMEA,18/10/23
NETHERLANDS ANTILLES,EMEA,18/10/23
NEW ZEALAND,APAC,18/10/23
NICARAGUA,LATAM,18/10/23
NORTH MACEDONIA,EMEA,18/10/23
NORWAY,EMEA,18/10/23
OMAN,EMEA,18/10/23
PAKISTAN,APAC,18/10/23
PANAMA,LATAM,18/10/23
PARAGUAY,LATAM,18/10/23
PERU,LATAM,18/10/23
PHILIPPINES,APAC,18/10/23
POLAND,EMEA,18/10/23
PORTUGAL,EMEA,18/10/23
PUERTO RICO,LATAM,18/10/23
QATAR,EMEA,18/10/23
ROMANIA,EMEA,18/10/23
RUSSIA,EMEA,18/10/23
SAUDI ARABIA,EMEA,18/10/23
SENEGAL,EMEA,18/10/23
SERBIA,EMEA,18/10/23
SINGAPORE,APAC,18/10/23
SLOVAKIA,EMEA,18/10/23
SLOVENIA,EMEA,18/10/23
SOUTH AFRICA,EMEA,18/10/23
SOUTH KOREA,APAC,18/10/23
SPAIN,EMEA,18/10/23
SRI LANKA,APAC,18/10/23
SWEDEN,EMEA,18/10/23
SWITZERLAND,EMEA,18/10/23
TAIWAN,APAC,18/10/23
THAILAND,APAC,18/10/23
TUNISIA,EMEA,18/10/23
TURKEY,EMEA,18/10/23
UGANDA,EMEA,18/10/23
UKRAINE,EMEA,18/10/23
UNITED ARAB EMIRATES,EMEA,18/10/23
UNITED KINGDOM,EMEA,18/10/23
UNITED STATES,NA,18/10/23
URUGUAY,LATAM,18/10/23
US VIRGIN ISLANDS,LATAM,18/10/23
VENEZUELA,LATAM,18/10/23
VIETNAM,APAC,18/10/23
ZAMBIA,EMEA,18/10/23
ZIMBABWE,EMEA,18/10/23
